id,first_name,last_name,email,phone,created_at,login_date,tier
39b6e89a-5202-4f50-b1a4-82edbf5bb0cb,Wing,Chan,wingchan83@gmail.com,11234567,2024-01-15 09:23:45,2025-04-01 14:22:18,basic
5ab83c04-8b8f-44f4-a344-c824edbfb91d,Siu Ming,Wong,siuwong@yahoo.com.hk,18765432,2024-01-18 14:12:33,2025-04-02 08:45:32,premium
93b34553-be42-4713-a4af-fce68aac2b55,Ka Yan,Lam,kayan.lam@outlook.com,17891234,2024-01-22 10:45:12,2025-04-05 19:34:21,basic
6f9ee9bc-7739-4c0f-8c30-a2eb44f7e934,Hoi Ting,Ng,hoiting_ng@gmail.com,16781234,2024-01-25 16:33:27,2025-03-28 12:12:45,basic
0c74fb07-7c2a-4a16-bf99-4f20bb238c50,Chun Ho,Leung,chunho.leung@hkbn.net,13451278,2024-01-29 08:15:43,2025-04-07 15:23:11,vip
b8dc1750-f876-4da3-9ae1-f7fe997a98bd,Man Yee,Cheung,manyee22@gmail.com,12349876,2024-02-03 11:22:18,2025-04-09 17:18:22,basic
3354b80b-60ec-46f8-847d-ff3684f716d9,Wai Lun,Tsang,wailun.tsang@netvigator.com,15123678,2024-02-07 14:56:32,2025-04-01 10:11:09,basic
083e6451-4c70-48c5-9929-8198d56b2f33,Yuen Ting,Yu,yuenting.yu@gmail.com,11875432,2024-02-10 09:11:44,2025-03-30 09:45:28,premium
cc53b448-7d2d-406c-ae56-f0bcf989db13,Chin Pang,Li,cpli1988@yahoo.com.hk,14561238,2024-02-14 17:23:09,2025-04-10 11:33:45,basic
85bf97ca-5d53-47ed-8f6d-fcf20d37bfea,Yee Man,Yeung,yeeman.yeung@outlook.com,11234789,2024-02-17 12:45:22,2025-03-25 14:22:37,basic
be15a1cb-ae2a-40c0-be6f-3190963fffb5,Tak Wah,Tse,takwah_tse@gmail.com,13456712,2024-02-21 08:34:17,2025-04-12 16:17:29,premium
0ef65ae7-af3f-449f-9356-8594e6b51a5f,Lai Ping,Ho,laiping.ho@hkbn.net,16781234,2024-02-25 15:12:33,2025-04-06 08:45:11,basic
f19fb4bc-cfb9-4f2e-a45e-b1218e67f758,Wing Cheong,Tang,wingtang@gmail.com,12345671,2024-02-29 10:56:44,2025-04-11 13:22:56,basic
87dcacff-02f3-4114-8b9d-1348099e4e18,Chi Yan,Yeung,chiyan1990@yahoo.com.hk,14321987,2024-03-04 13:18:29,2025-04-14 09:34:23,vip
51a385fc-a2b4-4716-a460-33b49db86101,Man Kin,Lau,mankin.lau@netvigator.com,15671234,2024-03-08 16:45:12,2025-04-03 18:45:09,basic
ba59bc29-f8e4-4e98-a61b-db8884f2e42f,Sum Yi,Choi,sumyi.choi@gmail.com,11234876,2024-03-12 09:34:27,2025-04-08 11:11:11,basic
1984d8a7-3e28-4286-bd9d-d6cc64e6fe7e,Mei Lin,Lee,meilee@yahoo.com.hk,17894512,2024-03-15 14:23:18,2025-04-13 15:27:33,premium
ba2562c8-8f38-4e2a-9a04-acb63e881baf,Ho Ming,Fung,homing.fung@outlook.com,13456789,2024-03-19 11:56:32,2025-03-27 10:08:44,basic
d83460a0-33dc-432b-ac50-235c98791f2d,Siu Wai,Wong,siuwai_wong@gmail.com,16543218,2024-03-23 18:12:43,2025-04-09 16:33:22,basic
a6804088-9644-44e6-9620-bca20026443b,Ming Fai,Chan,mingfai1995@hkbn.net,11872345,2024-03-27 10:34:16,2025-04-04 09:45:17,vip
df448ca3-a0db-44a2-97f1-885750f81958,John,Wong,john.wong@gmail.com,11234568,2024-03-31 15:22:44,2025-04-11 14:11:29,basic
b8e7e3a1-9d06-46c9-b5c4-10cad88d6770,Michelle,Lam,michelle_lam@yahoo.com.hk,18761432,2024-04-04 08:45:19,2025-04-12 17:23:45,premium
07493a33-3a75-421b-aeea-14af3a7e185d,Kenneth,Ng,kenneth.ng@outlook.com,17891235,2024-04-08 13:11:22,2025-03-29 09:34:18,basic
28f6f688-ebd5-4a0a-8ff6-3382b90c2123,Jessica,Leung,jessicaleung@gmail.com,16781235,2024-04-12 16:34:39,2025-04-14 12:45:33,basic
a501b6d9-737c-4d32-912a-3b36b8da6f6b,Raymond,Cheung,raymond.cheung@hkbn.net,13451279,2024-04-16 09:56:11,2025-04-08 16:56:22,premium
